Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,Method Description,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
2019-01-01,AQS,110010041,1,3.5,ug/m3 LC,19,RIVER TERRACE,1,100.0,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",11,District Of Columbia,1,District of Columbia,38.895572,-76.958072
2019-01-02,AQS,110010041,1,4.1,ug/m3 LC,23,RIVER TERRACE,1,100.0,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",11,District Of Columbia,1,District of Columbia,38.895572,-76.958072
2019-01-03,AQS,110010041,1,7.0,ug/m3 LC,39,RIVER TERRACE,1,100.0,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",11,District Of Columbia,1,District of Columbia,38.895572,-76.958072
2019-01-04,AQS,110010041,1,12.1,ug/m3 LC,57,RIVER TERRACE,1,100.0,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",11,District Of Columbia,1,District of Columbia,38.895572,-76.958072
2019-01-05,AQS,110010041,1,5.8,ug/m3 LC,32,RIVER TERRACE,1,100.0,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",11,District Of Columbia,1,District of Columbia,38.895572,-76.958072
2019-01-06,AQS,110010041,1,4.6,ug/m3 LC,26,RIVER TERRACE,1,100.0,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",11,District Of Columbia,1,District of Columbia,38.895572,-76.958072
2019-01-07,AQS,110010041,1,1.5,ug/m3 LC,8,RIVER TERRACE,1,100.0,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",11,District Of Columbia,1,District of Columbia,38.895572,-76.958072
2019-01-08,AQS,110010041,1,5.7,ug/m3 LC,32,RIVER TERRACE,1,100.0,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",11,District Of Columbia,1,District of Columbia,38.895572,-76.958072
2019-01-09,AQS,110010041,1,1.0,ug/m3 LC,6,RIVER TERRACE,1,100.0,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",11,District Of Columbia,1,District of Columbia,38.895572,-76.958072
2019-01-10,AQS,110010041,1,1.3,ug/m3 LC,7,RIVER TERRACE,1,100.0,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",11,District Of Columbia,1,District of Columbia,38.895572,-76.958072
2019-01-11,AQS,110010041,1,3.7,ug/m3 LC,21,RIVER TERRACE,1,100.0,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",11,District Of Columbia,1,District of Columbia,38.895572,-76.958072
2019-01-12,AQS,110010041,1,7.4,ug/m3 LC,41,RIVER TERRACE,1,100.0,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",11,District Of Columbia,1,District of Columbia,38.895572,-76.958072
2019-01-13,AQS,110010041,1,9.4,ug/m3 LC,52,RIVER TERRACE,1,100.0,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",11,District Of Columbia,1,District of Columbia,38.895572,-76.958072
2019-01-14,AQS,110010041,1,5.7,ug/m3 LC,32,RIVER TERRACE,1,100.0,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",11,District Of Columbia,1,District of Columbia,38.895572,-76.958072
2019-01-15,AQS,110010041,1,13.9,ug/m3 LC,60,RIVER TERRACE,1,100.0,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",11,District Of Columbia,1,District of Columbia,38.895572,-76.958072
2019-01-16,AQS,110010041,1,10.4,ug/m3 LC,53,RIVER TERRACE,1,100.0,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",11,District Of Columbia,1,District of Columbia,38.895572,-76.958072
2019-01-17,AQS,110010041,1,7.1,ug/m3 LC,39,RIVER TERRACE,1,100.0,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",11,District Of Columbia,1,District of Columbia,38.895572,-76.958072
2019-01-18,AQS,110010041,1,17.9,ug/m3 LC,67,RIVER TERRACE,1,100.0,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",11,District Of Columbia,1,District of Columbia,38.895572,-76.958072
2019-01-19,AQS,110010041,1,20.5,ug/m3 LC,72,RIVER TERRACE,1,100.0,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",11,District Of Columbia,1,District of Columbia,38.895572,-76.958072
2019-01-20,AQS,110010041,1,2.6,ug/m3 LC,14,RIVER TERRACE,1,100.0,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",11,District Of Columbia,1,District of Columbia,38.895572,-76.958072
2019-01-21,AQS,110010041,1,1.7,ug/m3 LC,9,RIVER TERRACE,1,100.0,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",11,District Of Columbia,1,District of Columbia,38.895572,-76.958072
2019-01-22,AQS,110010041,1,4.5,ug/m3 LC,25,RIVER TERRACE,1,100.0,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",11,District Of Columbia,1,District of Columbia,38.895572,-76.958072
2019-01-23,AQS,110010041,1,5.2,ug/m3 LC,29,RIVER TERRACE,1,100.0,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",11,District Of Columbia,1,District of Columbia,38.895572,-76.958072
2019-01-24,AQS,110010041,1,2.4,ug/m3 LC,13,RIVER TERRACE,1,100.0,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",11,District Of Columbia,1,District of Columbia,38.895572,-76.958072
2019-01-25,AQS,110010041,1,4.7,ug/m3 LC,26,RIVER TERRACE,1,100.0,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",11,District Of Columbia,1,District of Columbia,38.895572,-76.958072
2019-01-26,AQS,110010041,1,9.3,ug/m3 LC,51,RIVER TERRACE,1,100.0,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",11,District Of Columbia,1,District of Columbia,38.895572,-76.958072
2019-01-27,AQS,110010041,1,9.7,ug/m3 LC,52,RIVER TERRACE,1,100.0,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",11,District Of Columbia,1,District of Columbia,38.895572,-76.958072
2019-01-28,AQS,110010041,1,7.2,ug/m3 LC,40,RIVER TERRACE,1,100.0,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",11,District Of Columbia,1,District of Columbia,38.895572,-76.958072
2019-01-29,AQS,110010041,1,10.4,ug/m3 LC,53,RIVER TERRACE,1,100.0,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",11,District Of Columbia,1,District of Columbia,38.895572,-76.958072
2019-01-30,AQS,110010041,1,4.7,ug/m3 LC,26,RIVER TERRACE,1,100.0,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",11,District Of Columbia,1,District of Columbia,38.895572,-76.958072
2019-01-31,AQS,110010041,1,5.6,ug/m3 LC,31,RIVER TERRACE,1,100.0,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",11,District Of Columbia,1,District of Columbia,38.895572,-76.958072
2019-02-01,AQS,110010041,1,11.7,ug/m3 LC,56,RIVER TERRACE,1,100.0,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",11,District Of Columbia,1,District of Columbia,38.895572,-76.958072
2019-02-02,AQS,110010041,1,22.6,ug/m3 LC,76,RIVER TERRACE,1,100.0,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",11,District Of Columbia,1,District of Columbia,38.895572,-76.958072
2019-02-03,AQS,110010041,1,23.7,ug/m3 LC,78,RIVER TERRACE,1,100.0,88101,PM2.5 - Local Conditions,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",11,District Of Columbia,1,District of Columbia,38.895572,-76.958072
